"iso3","Country","Year","Value"
"AFG","Afghanistan",1,2661913333.33333
"ALB","Albania",1,11839326666.6667
"ANT","Netherlands Antilles",1,0
"ARB","Aruba",1,0
"ARE","United Arab Emirates",1,683129050000
"ARG","Argentina",1,0
"ARM","Armenia",1,2919273333.33333
"ATG","Antigua and Barbuda",1,11070000
"AUS","Australia",1,59523730286666.7
"AUT","Austria",1,3583224550000
"AZE","Azerbaijan",1,893746666.666667
"BDI","Burundi",1,39630906666.6667
"BEL","Belgium",1,6814307670000
"BEN","Benin",1,7720036666.66667
"BFA","Burkina Faso",1,740400000
"BGD","Bangladesh",1,63346153333.3333
"BGR","Bulgaria",1,13555166503333.3
"BHR","Bahrain",1,15776476666.6667
"BHS","Bahamas",1,46513333.3333333
"BIH","Bosnia and Herzegovina",1,456828153333.333
"BLR","Belarus",1,306717590000
"BLZ","Belize",1,14726666.6666667
"BMU","Bermuda",1,0
"BOL","Bolivia (Plurinational State of)",1,7829540833.33333
"BRA","Brazil",1,3616886606666.67
"BRB","Barbados",1,23146300000
"BRN","Brunei Darussalam",1,676706666.666667
"BTN","Bhutan",1,0
"BWA","Botswana",1,1773020000
"CAF","Central African Republic",1,0
"CAN","Canada",1,75536913550000
"CHE","Switzerland",1,190496403333.333
"CHL","Chile",1,35667893333.3333
"CHN","China (mainland)",1,1020084623333.33
"CIV","Cote dIvoire",1,362329250000
"CMR","Cameroon",1,17112220000
"COD","Democratic Republic of the Congo",1,2934566666.66667
"COG","Congo",1,0
"COK","Cook Islands",1,0
"COL","Colombia",1,114807300000
"COM","Comoros",1,0
"CPV","Cape Verde",1,439940000
"CRI","Costa Rica",1,298700036666.667
"CUB","Cuba",1,823870000
"CYP","Cyprus",1,43242530000
"CZE","Czech Republic",1,9580010986666.67
"DEU","Germany",1,38835575446666.7
"DJI","Djibouti",1,5275940000
"DMA","Dominica",1,188540000
"DNK","Denmark",1,3729719863333.33
"DOM","Dominican Republic",1,0
"DZA","Algeria",1,15745786666.6667
"ECU","Ecuador",1,16136230000
"EGY","Egypt",1,749904150000
"ERI","Eritrea",1,0
"ESP","Spain",1,3720449336666.67
"EST","Estonia",1,1706573613333.33
"ETH","Ethiopia",1,0
"FIN","Finland",1,933699030000
"FJI","Fiji",1,104991483333.333
"FRA","France",1,62980873876666.7
"FRO","Faroe Islands",1,2490000
"GAB","Gabon",1,2265806666.66667
"GBR","United Kingdom",1,8354482770000
"GEO","Georgia",1,32888083333.3333
"GHA","Ghana",1,235235026666.667
"GIN","Guinea",1,0
"GMB","Gambia",1,396146666.666667
"GNB","Guinea-Bissau",1,0
"GNQ","Equatorial Guinea",1,0
"GRC","Greece",1,1553979560000
"GRD","Grenada",1,11269583333.3333
"GRL","Greenland",1,0
"GTM","Guatemala",1,363813910000
"GUY","Guyana",1,10841036666.6667
"HKG","Hong Kong SAR, China",1,205745053333.333
"HND","Honduras",1,192593783333.333
"HRV","Croatia",1,1297033333333.33
"HTI","Haiti",1,0
"HUN","Hungary",1,9427695396666.67
"IDN","Indonesia",1,724375706666.667
"IND","India",1,0
"IRL","Ireland",1,653278360000
"IRN","Iran (Islamic Republic of)",1,961065110000
"IRQ","Iraq",1,0
"ISL","Iceland",1,157853333.333333
"ISR","Israel",1,66337436666.6667
"ITA","Italy",1,10619851403333.3
"JAM","Jamaica",1,29015460000
"JOR","Jordan",1,123059370000
"JPN","Japan",1,759612700000
"KAZ","Kazakhstan",1,18111616436111.1
"KEN","Kenya",1,31402686666.6667
"KGZ","Kyrgyzstan",1,5529703333.33333
"KHM","Cambodia",1,3335690000
"KIR","Kiribati",1,7340000
"KNA","Saint Kitts and Nevis",1,4470000
"KOR","Republic of Korea",1,371181270000
"KWT","Kuwait",1,362284293333.333
"LAO","Lao People's Democratic Republic",1,0
"LBN","Lebanon",1,134581990000
"LBR","Liberia",1,0
"LBY","Libya",1,34889680000
"LCA","Saint Lucia",1,268196666.666667
"LKA","Sri Lanka",1,274095730000
"LSO","Lesotho",1,0
"LTU","Lithuania",1,9869814943333.33
"LUX","Luxembourg",1,393253300000
"LVA","Latvia",1,7282337833333.33
"MAC","Macao SAR, China",1,2336476666.66667
"MAR","Morocco",1,126875353333.333
"MDA","Republic of Moldova",1,1866523426666.67
"MDG","Madagascar",1,275096666.666667
"MDV","Maldives",1,0
"MEX","Mexico",1,5835820043333.33
"MKD","The former Yugoslav Republic of Macedonia",1,126646636666.667
"MLI","Mali",1,5932533333.33333
"MLT","Malta",1,35187216666.6667
"MMR","Myanmar",1,0
"MNE","Montenegro",1,22590273333.3333
"MNG","Mongolia",1,2389540000
"MOZ","Mozambique",1,0
"MRT","Mauritania",1,55040000
"MUS","Mauritius",1,89822463333.3333
"MWI","Malawi",1,837490000
"MYS","Malaysia",1,1042251066666.67
"NAM","Namibia",1,9782963333.33333
"NCL","New Caledonia",1,28240000
"NER","Niger",1,1.8384e+10
"NGA","Nigeria",1,23125080000
"NIC","Nicaragua",1,56200316666.6667
"NLD","Netherlands",1,3802353816666.67
"NOR","Norway",1,34336413333.3333
"NPL","Nepal",1,15066722222.2222
"NZL","New Zealand",1,113817013333.333
"OMN","Oman",1,1012626540000
"PAK","Pakistan",1,0
"PAN","Panama",1,58625206666.6667
"PER","Peru",1,337941383333.333
"PHL","Philippines",1,261137750000
